style,view,shoe,speed_mph,run_folder,stride_idx,contact_ms,air_ms,stride_ms,ratio,pct_contact,knee_angle_deg,ankle_ahead_knee_px,toeoff_ankle_knee_px,cadence_spm,loading_rate,flight_arc_px,hip_osc_px
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,3,533,400,933,1.3325,57.12754555198285,178.5175929586496,-107.41324535080253,276.1818107219892,64.30868167202573,0.053873544934974045,176.0808564626808,83.1990174776803
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,4,534,433,967,1.233256351039261,55.222337125129265,175.8985243670875,-118.79239657788469,246.40351076594015,62.047569803516026,0.16871281403506996,174.2087528874988,78.18073712974353
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,5,567,400,967,1.4175,58.63495346432265,179.94596312455187,-135.64540579657705,283.49872878371275,62.047569803516026,-0.07792753462516301,154.92509151324793,67.8279175032993
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,6,566,400,966,1.415,58.59213250517599,179.39583122012587,-138.86288530077888,287.3689498394456,62.11180124223603,-0.09565620294374964,155.25446189402555,82.55294335512528
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,7,567,400,967,1.4175,58.63495346432265,178.80240571296616,-117.3364381146049,282.92857149079646,62.047569803516026,0.24701828182043542,157.8719991899991,74.68213817589415
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,8,533,434,967,1.228110599078341,55.118924508790066,177.49871864685176,-110.35352749928813,273.3055894981933,62.047569803516026,0.3096135362927242,145.62183463541805,78.25505908977978
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,9,533,400,933,1.3325,57.12754555198285,176.36834165733893,-94.88030975986771,281.3966000373298,64.30868167202573,0.05685959757590979,158.7369958376703,72.27429915825486
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,10,533,400,933,1.3325,57.12754555198285,176.8348831973029,-100.89253150613206,288.8638071942164,64.30868167202573,0.15480396550860215,150.48852112149416,72.95440825199938
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,11,500,400,900,1.25,55.55555555555556,173.01817676582755,-79.01059048425611,279.10403025786616,66.66666666666667,0.15128008623123024,156.1478695742161,83.68367826893089
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,12,500,400,900,1.25,55.55555555555556,174.4646785122759,-84.39061195499016,286.8691013082431,66.66666666666667,0.15351974876265767,147.63114390248973,83.68367826893089
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,13,500,400,900,1.25,55.55555555555556,175.34319300993621,-96.75005470437156,271.1389918631985,66.66666666666667,0.2245206272526439,158.29860422671027,76.26159345992326
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,14,567,400,967,1.4175,58.63495346432265,177.9160368936396,-140.9450474283451,284.44987189641915,62.047569803516026,0.26578485388977396,160.4340464991193,80.62935164446921
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,15,533,400,933,1.3325,57.12754555198285,175.82581019066865,-95.26674739750308,284.35626594545045,64.30868167202573,0.22179396271432927,156.46347807179507,80.62935164446921
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,16,500,400,900,1.25,55.55555555555556,170.11935849830817,-49.46805204868235,294.5236617662699,66.66666666666667,0.16012873974945083,161.8155611644953,72.13668803715316
overstriding,perpendicular,ASICS Gel-Nimbus,5.0,20260609_181012,17,534,400,934,1.335,57.17344753747323,177.36088917142592,-106.22532411968143,294.8016958796287,64.23982869379014,0.24616920383498964,158.9833971907966,77.00998101118219
